cluster_number,number_of_element,num_ascolti_totali,settimane_totali,artisti_univoci,indie rock,rock,pop,metal,electronic,hip hop,indie,r&b,punk,folk,altro
Valori/medie generali,20962,138.776261807,4.45067264574,57.6287090926,3.33226791337,23.0558152848,14.0993702891,5.49694685622,6.19301593359,4.67980154565,1.86809464746,1.67579429444,3.83460547658,3.66014693254,32.3204846866
0,1188,134.300505051,4.07491582492,42.9730639731,2.7196969697,10.2693602694,8.27609427609,1.72558922559,32.1060606061,4.02188552189,1.90235690236,1.02104377104,1.75420875421,3.09932659933,33.3265993266
1,2654,149.414468726,4.10173323286,98.1273549359,2.22456669179,11.9442351168,13.0546345139,1.65033911078,8.35305199699,5.11755840241,1.97965335343,2.73775433308,2.08176337604,3.83534287867,47.3123587038
2,2708,141.727474151,4.32053175775,38.9235598227,3.0576070901,57.1155834564,7.86225997046,4.52326440177,2.70864106352,1.8629985229,1.23116691285,0.512555391433,4.00110782866,2.26033973412,15.0583456425
3,2520,124.077380952,4.02976190476,39.7214285714,1.31111111111,9.3876984127,6.25198412698,2.82738095238,5.64682539683,3.11071428571,0.902380952381,1.18253968254,2.08174603175,2.39047619048,65.0702380952
4,1081,136.812210916,4.11840888067,34.6651248844,0.466234967623,17.9084181314,2.79740980574,56.6660499537,1.67807585569,1.31452358927,0.321924144311,0.286771507863,2.25624421832,1.21184088807,15.2062904718
5,1338,147.512705531,12.0523168909,66.6943198804,3.59715994021,24.9155455904,14.7668161435,2.88266068759,5.25784753363,4.23019431988,2.15246636771,1.78325859492,3.88789237668,4.24738415546,32.5665171898
6,929,129.327233584,3.86114101184,42.8288482239,2.0398277718,9.19375672766,7.0947255113,2.20344456405,5.308934338,36.2701829925,0.939720129171,5.0548977395,2.12378902045,1.71582346609,28.2131324004
7,2788,161.953371593,3.67467718795,103.441535151,4.06886657102,31.7682926829,16.3855810617,3.07030129125,4.00179340029,3.36621233859,2.34253945481,1.53658536585,4.3787661406,4.05774748924,25.3852223816
8,3696,132.12797619,3.61904761905,36.1920995671,7.03300865801,24.2121212121,10.3392857143,3.141504329,4.24702380952,2.89420995671,3.21022727273,0.979166666667,8.61255411255,7.13365800866,28.3479437229
9,2060,121.931067961,3.84805825243,49.6936893204,2.22427184466,10.5703883495,48.9106796117,1.01553398058,3.54708737864,2.91067961165,1.71844660194,3.39126213592,1.47427184466,2.16116504854,22.2417475728
